"","X","w1.date","treat","sex","age","educ","cauc","hisp","black","midEast","pacIsl","natAm","SAsian","EAsian","SEAsian","party","pDem","state","passCheck","videoContent","w1.totalQuestionnaireMin","w1.finishedQuestionnaire","onTaskMin","offTaskMin","w2.date","w2.totalQuestionnaireMin","w2.finishedQuestionnaire","leafyVeg_Freq","leafyVeg_Ounces","otherVeg_Freq","otherVeg_Ounces","fruit_Freq","fruit_Ounces","wholeGrain_Freq","wholeGrain_Ounces","legumes_Freq","legumes_Ounces","chicken_Freq","chicken_Ounces","turkey_Freq","turkey_Ounces","fish_Freq","fish_Ounces","pork_Freq","pork_Ounces","beef_Freq","beef_Ounces","otherMeat_Freq","otherMeat_Ounces","dairy_Freq","dairy_Ounces","eggs_Freq","eggs_Ounces","refined_Freq","refined_Ounces","beverages_Freq","beverages_Ounces","guessPurpose","guessPurpose2","covid","importHealth","importEnviro","importAnimals","X1_spec","X2_spec","X3_spec","X4_spec","X5_spec","X6_spec","X1_activ","X2_activ","X3_activ","X4_activ","X5_activ","X1_dom","X2_dom","X3_dom","X4_dom","X5_dom","X6_dom","X7_dom","X8_dom","ID","chicken","turkey","fish","pork","beef","otherMeat","dairy","eggs","refined","beverages","leafyVeg","otherVeg","fruit","wholeGrain","legumes","totalMeat","totalAnimProd","mainY","mainYFreqOnly","totalGood","spec","activ","dom","aware","female","young","party2","pDem2","collegeGrad","fuDays","numFoodFreqMissing","treat.pretty"
"142",142,2020-08-26,1,"a.Female",54,"b.HS",1,0,0,0,0,0,0,0,0,"Independent",0.507320637237946,"Alabama",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1324,TRUE,0.172183333333333,20.9360833333333,2020-09-07,471,TRUE,0,0,1,3.5,0,0,2,5,0,0,0,0,0,0,1,3.5,0,0,2,3.5,0,0,14,5,0,0,3.5,3.5,3.5,5,"b.protein","a.generalPatterns","d.noChange",2,3,6,4,1,1,2,-6,1,4,2,5,6,6,4,2,-7,-7,1,2,-6,-7,"5d2a7c01b866ef0015b8e0a1",0,0,3.5,0,7,0,70,0,12.25,17.5,0,3.5,0,10,0,10.5,70,80.5,17,13.5,-1.09701187255818,0.320899552927314,-0.615085359807775,FALSE,1,FALSE,"b.Neutral",5.07320637237946,FALSE,12,0,"Documentary"
"143",143,2020-08-26,1,"b.Male",20,"b.HS",1,0,0,0,0,0,0,0,0,"Independent",0.521173055747028,"Illinois",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1363,TRUE,0.154083333333333,20.9354333333333,2020-09-11,335,TRUE,2,3.5,3.5,3.5,1,3.5,3.5,3.5,1,2,0,0,0,0,2,3.5,0,0,2,3.5,0,0,3.5,3.5,0,0,3.5,3.5,5.5,5,"d.vegetables","a.generalPatterns","d.noChange",3,3,4,3,3,3,3,-3,4,1,4,5,5,5,4,4,-5,-5,4,3,-5,-5,"5d30dea16f058500017d0d73",0,0,7,0,7,0,12.25,0,12.25,27.5,7,12.25,3.5,12.25,2,14,12.25,26.25,7.5,37,0.2665325511066,-0.0980458831157753,0.653156407223343,FALSE,0,TRUE,"b.Neutral",5.21173055747028,FALSE,16,0,"Documentary"
"144",144,2020-08-26,0,"a.Female",53,"b.HS",1,0,0,0,0,0,0,0,0,"Republican",0.46874179526824,"New York",FALSE,"Most Americans get less than the recommended amount of exercise.",1354,TRUE,20.8186,0.178133333333333,2020-09-07,294,TRUE,2,2,2,3.5,1,3.5,3.5,2,2,3.5,1,3.5,0,0,1,2,0,0,1,3.5,0,0,3.5,2,0,0,1,2,0,0,"a.totalCal","a.generalPatterns","d.noChange",3,1,1,4,3,2,1,-4,4,2,2,1,1,3,3,1,-4,-7,4,4,-5,-5,"5d344bd3b0f315001a122275",3.5,0,2,0,3.5,0,7,0,2,0,4,7,3.5,7,7,9,7,16,6.5,28.5,-0.142530775992834,-1.6341791486071,0.262928171213768,FALSE,1,FALSE,"a.Republican",4.6874179526824,FALSE,12,0,"Control"
"145",145,2020-08-26,1,"b.Male",59,"c.2yr",1,0,0,0,0,0,0,0,0,"Independent",0.542570246860088,"Arizona",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1405,TRUE,0.357233333333333,20.9931833333333,2020-09-08,831,TRUE,5.5,5,3.5,3.5,7,2,7,3.5,2,5,2,5,0,0,5.5,5,0,0,5.5,3.5,0,0,3.5,2,5.5,3.5,7,5,0,0,"d.vegetables","d.dontKnow","d.noChange",4,4,3,1,1,3,4,-6,4,6,4,7,4,5,4,5,-3,-3,5,4,-4,-5,"5d3923f8bdcf76001924f57e",10,0,27.5,0,19.25,0,7,19.25,35,0,27.5,12.25,14,24.5,10,56.75,26.25,83,22,88.25,-0.551594103092268,0.739844988970404,1.43361287924249,FALSE,0,FALSE,"b.Neutral",5.42570246860088,TRUE,13,0,"Documentary"
"146",146,2020-08-26,0,"b.Male",58,"b.HS",1,0,0,0,0,0,0,0,0,"Independent",0.403129616457843,"Kansas",FALSE,"Exercising for even 10 minutes a day can improve health.",1462,TRUE,4.33173333333333,16.7255166666667,2020-09-07,390,TRUE,5.5,5,3.5,5,3.5,5,1,2,1,3.5,1,2,0,0,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"a.totalCal","d.dontKnow","d.noChange",4,5,4,2,1,1,1,-6,1,6,6,6,5,6,4,2,-7,-7,4,4,-6,-7,"5d3a2d1da46f450019cdf5d3",2,0,3.5,0,0,0,0,0,0,0,27.5,17.5,17.5,2,3.5,5.5,0,5.5,2,68,-1.50607519965761,1.15879042501349,-0.127300064795806,FALSE,0,FALSE,"b.Neutral",4.03129616457843,FALSE,12,0,"Control"
"147",147,2020-08-26,0,"a.Female",37,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.423043776748806,"Pennsylvania",FALSE,"Exercising for even 10 minutes a day can improve health.",2140,TRUE,0.161483333333333,34.2512333333333,2020-09-07,590,TRUE,1,2,7,3.5,5.5,5,3.5,5,1,3.5,2,3.5,1,3.5,2,3.5,0,0,1,3.5,0,0,2,2,0,0,0,0,0,0,"a.totalCal","a.generalPatterns","c.slightlyLess",5,4,6,2,2,2,4,-6,2,4,4,7,7,7,1,1,-6,-7,1,1,-7,-7,"5d4254db5b2c430001418a3c",7,3.5,7,0,3.5,0,4,0,0,0,2,24.5,27.5,17.5,3.5,21,4,25,8,75,-0.687948545458746,1.15879042501349,-1.10287065481974,FALSE,1,FALSE,"c.Democrat",4.23043776748806,FALSE,12,0,"Control"
"148",148,2020-08-26,0,"b.Male",45,"e.post",1,0,0,0,0,0,0,0,0,"Democrat",0.58889972749427,"Florida",FALSE,"It is important to teach children good habits in terms of exercise.",1405,TRUE,1.54591666666667,18.6214833333333,2020-09-07,462,TRUE,2,2,1,3.5,5.5,5,3.5,3.5,5.5,2,1,3.5,2,2,2,5,3.5,3.5,0,0,1,5,1,2,3.5,2,5.5,3.5,0,0,"e.fruit","b.increase","f.somewhatMore",4,4,5,6,6,6,6,-6,6,7,6,6,6,7,6,7,-6,-7,6,7,-6,-7,"5d45bc6dde2d3a00167079db",3.5,4,10,12.25,0,5,2,7,19.25,0,4,3.5,27.5,12.25,11,34.75,9,43.75,14,58.25,1.76643141713786,1.57773586105658,1.14094170223531,FALSE,0,FALSE,"c.Democrat",5.8889972749427,TRUE,12,0,"Control"
"149",149,2020-08-26,0,"b.Male",23,"d.4yr",0,1,0,0,0,0,0,0,0,"Democrat",0.740483864303128,"New Jersey",FALSE,"Most Americans get less than the recommended amount of exercise.",1262,TRUE,12.9099666666667,7.15716666666667,2020-09-08,319,TRUE,5.5,3.5,7,3.5,5.5,3.5,7,3.5,5.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3.5,3.5,0,0,0,0,"g.meatAnimProd","a.generalPatterns","c.slightlyLess",5,5,4,5,3,1,1,-6,5,5,3,6,6,5,3,1,-7,-6,2,1,-7,-7,"5d4c65d1de72600016f87c14",0,0,0,0,0,0,4,12.25,0,0,19.25,24.5,19.25,24.5,19.25,0,16.25,16.25,5.5,106.75,-0.278885218359312,0.600196510289374,-0.810199477812563,FALSE,0,TRUE,"c.Democrat",7.40483864303128,TRUE,13,0,"Control"
"150",150,2020-08-26,0,"a.Female",50,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.672763292200252,"Florida",FALSE,"It is important to teach children good habits in terms of exercise.",1316,TRUE,14.5100833333333,6.01265,2020-09-08,452,TRUE,2,3.5,2,3.5,3.5,3.5,1,2,2,3.5,1,3.5,1,3.5,2,3.5,0,0,0,0,0,0,3.5,3.5,1,2,2,2,0,0,"j.dontKnow","","d.noChange",3,3,3,1,1,1,1,-7,1,3,3,7,7,7,1,1,-7,-7,1,1,-7,-7,"5d4c78071b920f00198e8533",3.5,3.5,7,0,0,0,12.25,2,4,0,7,7,12.25,2,7,14,14.25,28.25,8.5,35.25,-1.77878408439057,0.879493467651434,-1.20042771382214,FALSE,1,FALSE,"c.Democrat",6.72763292200252,FALSE,13,0,"Control"
"151",151,2020-08-26,1,"a.Female",62,"b.HS",0,0,0,1,0,0,0,0,0,"Democrat",0.416188424803209,"Texas",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1344,TRUE,0.222533333333333,20.7281,2020-09-07,450,TRUE,7,3.5,7,5,2,5,2,3.5,1,5,2,5,0,0,0,0,0,0,1,3.5,0,0,14,3.5,0,0,0,0,3.5,5,"j.dontKnow","","b.somewhatLess",4,6,4,2,2,2,4,-6,2,4,2,6,7,3,1,1,-7,-7,7,1,-7,-7,"5d4c7ac3e8ec490018b0050d",10,0,0,0,3.5,0,49,0,0,17.5,24.5,35,10,7,5,13.5,49,62.5,17,81.5,-0.687948545458746,0.181251074246285,-0.615085359807775,FALSE,1,FALSE,"c.Democrat",4.16188424803209,FALSE,12,0,"Documentary"
"152",152,2020-08-26,0,"a.Female",62,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.412526218079118,"Florida",FALSE,"Most Americans get less than the recommended amount of exercise.",1507,TRUE,0.4966,20.7042,2020-09-07,500,TRUE,0,0,1,3.5,7,3.5,0,0,0,0,3.5,5,2,3.5,0,0,0,0,0,0,0,0,14,3.5,0,0,7,5,0,0,"g.meatAnimProd","a.generalPatterns","d.noChange",3,3,3,5,1,1,1,-5,3,1,3,7,2,5,1,1,-7,-7,1,1,-7,-7,"5d60b5beea1c1c0001c98bf6",17.5,7,0,0,0,0,49,0,35,0,0,3.5,24.5,0,0,24.5,49,73.5,19.5,28,-0.687948545458746,-0.377342840477835,-1.20042771382214,FALSE,1,FALSE,"c.Democrat",4.12526218079118,FALSE,12,0,"Control"
"153",153,2020-08-26,1,"a.Female",65,"b.HS",1,0,0,0,0,0,0,0,0,"Independent",0.38894534625271,"North Carolina",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1334,TRUE,0.21715,20.8121833333333,2020-09-07,1027,TRUE,0,0,3.5,2,0,0,0,0,0,0,2,3.5,0,0,0,0,2,3.5,2,3.5,0,0,0,0,1,2,5.5,5,0,0,"g.meatAnimProd","d.dontKnow","c.slightlyLess",3,2,4,2,1,1,1,-5,1,4,5,7,4,4,4,4,-4,-4,4,4,-4,-4,"5d61e2c9262779001a4e829a",7,0,0,7,7,0,0,2,27.5,0,0,7,0,0,0,21,2,23,7,7,-1.36972075729114,0.460548031608344,1.14094170223531,FALSE,1,FALSE,"b.Neutral",3.8894534625271,FALSE,12,0,"Documentary"
"154",154,2020-08-26,1,"b.Male",23,"b.HS",0,0,1,0,0,0,0,0,0,"Democrat",0.521173055747028,"Illinois",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1325,TRUE,0.24945,20.93715,2020-09-07,1185,TRUE,2,5,3.5,3.5,5.5,3.5,2,3.5,1,2,3.5,5,0,0,1,2,0,0,3.5,5,0,0,5.5,5,1,2,0,0,5.5,5,"d.vegetables","b.increase","d.noChange",5,4,1,7,7,4,5,-4,5,1,1,7,1,1,1,1,-7,-7,1,1,-7,-7,"5d62935aacd67c0015b06e8d",17.5,0,2,0,17.5,0,27.5,2,0,27.5,10,12.25,19.25,7,2,37,29.5,66.5,14.5,50.5,1.76643141713786,-1.35488219124504,-1.20042771382214,FALSE,0,TRUE,"c.Democrat",5.21173055747028,FALSE,12,0,"Documentary"
"155",155,2020-08-26,0,"a.Female",29,"b.HS",1,0,0,0,0,0,0,0,0,"Republican",0.282451533424107,"Ohio",FALSE,"Exercising for even 10 minutes a day can improve health.",1607,TRUE,2.68981666666667,20.8618666666667,2020-09-07,676,TRUE,0,0,3.5,3.5,2,3.5,5.5,3.5,2,3.5,5.5,3.5,1,2,0,0,0,0,3.5,3.5,0,0,14,2,0,0,3.5,3.5,3.5,5,"j.dontKnow","","b.somewhatLess",1,1,2,1,1,1,5,-4,3,1,1,6,1,1,5,3,-7,-4,1,1,-7,-7,"5d67476c0ca617001699fe7a",19.25,2,0,0,12.25,0,28,0,12.25,17.5,0,12.25,7,19.25,7,33.5,28,61.5,24,45.5,-0.551594103092268,-1.49453066992607,-0.322414182800594,FALSE,1,FALSE,"a.Republican",2.82451533424107,FALSE,12,0,"Control"
"156",156,2020-08-26,0,"a.Female",32,"b.HS",0,1,0,0,0,0,1,0,1,"Republican",0.539371403306976,"North Carolina",FALSE,"Most Americans get less than the recommended amount of exercise.",2184,TRUE,0.0797,20.41095,2020-09-07,446,TRUE,7,3.5,7,3.5,7,3.5,3.5,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,"a.totalCal","a.generalPatterns","d.noChange",6,5,6,1,1,1,2,-2,7,7,7,7,7,2,2,2,-7,-6,4,1,-6,-6,"5d67d4393fcbbc0019f3e1a4",0,0,0,0,0,0,0,0,14,0,24.5,24.5,24.5,12.25,12.25,0,0,0,0,98,-0.142530775992834,1.29843890369452,-0.419971241802988,FALSE,1,FALSE,"a.Republican",5.39371403306976,FALSE,12,0,"Control"
"157",157,2020-08-26,0,"b.Male",29,"c.2yr",0,0,0,0,0,0,0,0,1,"Independent",0.343320344310467,"Texas",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1543,TRUE,0.06145,0,2020-09-07,230,TRUE,3.5,3.5,2,2,3.5,3.5,1,2,3.5,3.5,3.5,3.5,0,0,1,3.5,2,3.5,2,3.5,0,0,3.5,5,0,0,0,0,2,5,"j.dontKnow","","d.noChange",4,3,3,3,4,4,4,-4,4,4,4,4,4,4,4,4,-4,-4,4,4,-4,-4,"5d6cef4276cca6001666d86d",12.25,0,3.5,7,7,0,17.5,0,0,10,12.25,4,12.25,2,12.25,29.75,17.5,47.25,12,42.75,0.539241435839556,-0.0980458831157753,1.14094170223531,FALSE,0,FALSE,"b.Neutral",3.43320344310467,TRUE,12,0,"Control"
"158",158,2020-08-26,1,"b.Male",54,"b.HS",1,0,0,0,0,0,0,0,0,"Independent",0.581193343428601,"New York",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1522,TRUE,2.43408333333333,21.4066333333333,2020-09-07,783,TRUE,1,2,2,3.5,2,2,7,5,2,3.5,0,0,0,0,0,0,0,0,5.5,3.5,0,0,7,5,0,0,7,3.5,0,0,"j.dontKnow","","c.slightlyLess",2,1,2,6,1,6,7,-4,7,1,1,4,2,4,5,4,-1,-1,7,6,-4,-4,"5d730a3cf37bfe0001ff031a",0,0,0,0,19.25,0,35,0,24.5,0,2,7,4,35,7,19.25,35,54.25,12.5,55,1.63007697477138,-1.21523371256401,2.31162641026404,FALSE,0,FALSE,"b.Neutral",5.81193343428601,FALSE,12,0,"Documentary"
"159",159,2020-08-26,0,"a.Female",46,"d.4yr",1,0,0,0,0,0,0,0,0,"Republican",0.832967578157535,"Pennsylvania",FALSE,"Most Americans get less than the recommended amount of exercise.",1383,TRUE,0.129883333333333,21.0439333333333,2020-09-07,686,TRUE,3.5,3.5,3.5,3.5,3.5,3.5,0,0,2,3.5,3.5,5,0,0,3.5,3.5,2,3.5,3.5,5,0,0,5.5,3.5,1,3.5,3.5,3.5,14,5,"a.totalCal","a.generalPatterns","b.somewhatLess",3,4,4,5,5,3,2,-6,3,2,2,5,3,5,3,1,-6,-7,2,1,-7,-7,"5d79375d794d900017671c07",17.5,0,12.25,7,17.5,0,19.25,3.5,12.25,70,12.25,12.25,12.25,0,7,54.25,22.75,77,19,43.75,0.130178108740122,-0.516991319158865,-0.810199477812563,FALSE,1,FALSE,"a.Republican",8.32967578157535,TRUE,12,0,"Control"
"160",160,2020-08-26,1,"b.Male",35,"b.HS",1,0,0,0,0,0,0,0,0,"Independent",0.531364728656298,"Michigan",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1277,TRUE,0.0266333333333333,20.4025666666667,2020-09-08,752,TRUE,3.5,3.5,3.5,3.5,3.5,3.5,1,3.5,5.5,2,3.5,5,0,0,0,0,0,0,3.5,5,0,0,5.5,3.5,2,3.5,5.5,2,2,5,"a.totalCal","a.generalPatterns","c.slightlyLess",4,6,5,1,1,2,3,-7,5,5,5,6,7,6,5,6,-2,-2,1,7,-3,-2,"5d8108c0a6d2bf001afdb2d9",17.5,0,0,0,17.5,0,19.25,7,11,10,12.25,12.25,12.25,3.5,11,35,26.25,61.25,14.5,51.25,-0.824302987825224,1.15879042501349,2.11651229225925,FALSE,0,FALSE,"b.Neutral",5.31364728656298,FALSE,13,0,"Documentary"
"161",161,2020-08-26,0,"a.Female",48,"b.HS",1,0,0,0,0,0,0,0,0,"Republican",0.515062893646959,"California",FALSE,"Most Americans get less than the recommended amount of exercise.",1539,TRUE,0.392583333333333,20.48505,2020-09-07,392,TRUE,1,2,3.5,2,0,0,2,3.5,1,2,0,0,0,0,0,0,1,2,2,2,0,0,2,3.5,5.5,2,0,0,3.5,3.5,"a.totalCal","a.generalPatterns","d.noChange",3,1,5,6,2,1,1,-7,1,4,4,7,1,4,4,4,-7,-4,5,4,-6,-7,"5d89106d1719af0001ee23e5",0,0,0,2,4,0,7,11,0,12.25,2,7,0,7,2,6,18,24,10.5,18,-0.960657430191702,-0.0980458831157753,0.458042289218556,FALSE,1,FALSE,"a.Republican",5.15062893646959,FALSE,12,0,"Control"
"162",162,2020-08-26,0,"b.Male",48,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.501696411389175,"Missouri",FALSE,"Exercising for even 10 minutes a day can improve health.",1355,TRUE,0.18,20.5802833333333,2020-09-07,686,TRUE,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1,2,0,0,0,0,0,0,1,2,2,3.5,0,0,14,2,5.5,2,3.5,2,14,5,"g.meatAnimProd","d.dontKnow","d.noChange",3,3,3,5,5,5,5,-6,5,2,2,6,5,3,6,5,-7,-2,7,7,-2,-6,"5d8998025e8a740001d6e2f1",0,0,0,2,7,0,28,11,7,70,12.25,12.25,12.25,12.25,2,9,39,48,22.5,51,1.08465920530547,-0.377342840477835,1.92139817425446,FALSE,0,FALSE,"c.Democrat",5.01696411389175,FALSE,12,0,"Control"
"163",163,2020-08-26,0,"a.Female",19,"b.HS",0,0,0,0,0,0,0,1,0,"Other/I don't know",0.435712274264556,"Georgia",FALSE,"It is important to teach children good habits in terms of exercise.",1435,TRUE,0.113983333333333,20.9878666666667,2020-09-07,330,TRUE,2,3.5,3.5,3.5,7,3.5,5.5,5,1,5,3.5,5,1,3.5,0,0,1,3.5,1,3.5,0,0,7,5,0,0,2,3.5,5.5,3.5,"j.dontKnow","","d.noChange",3,2,3,5,1,2,4,-4,1,2,2,6,5,5,1,1,-7,-7,1,1,-7,-7,"5d8d1125381d43001936e5a9",17.5,3.5,0,3.5,3.5,0,35,0,7,19.25,7,12.25,24.5,27.5,5,28,35,63,13.5,76.25,-0.278885218359312,-0.0980458831157753,-1.20042771382214,FALSE,1,TRUE,"b.Neutral",4.35712274264556,FALSE,12,0,"Control"
"164",164,2020-08-26,0,"b.Male",26,"d.4yr",0,1,0,0,0,0,0,0,0,"Independent",0.665543456198917,"California",FALSE,"Most Americans get less than the recommended amount of exercise.",1700,TRUE,0.700683333333333,20.4377166666667,2020-09-07,1311,TRUE,1,2,2,2,7,3.5,7,3.5,0,0,3.5,3.5,0,0,0,0,3.5,3.5,1,3.5,0,0,0,0,5.5,3.5,3.5,2,0,0,"a.totalCal","a.generalPatterns","d.noChange",3,1,3,1,1,1,1,-5,1,4,4,7,7,4,1,1,-7,-7,1,1,-7,-7,"5d9538766b38a90019104f71",12.25,0,0,12.25,3.5,0,0,19.25,7,0,2,4,24.5,24.5,0,28,19.25,47.25,13.5,55,-1.50607519965761,0.739844988970404,-1.20042771382214,FALSE,0,FALSE,"b.Neutral",6.65543456198917,TRUE,12,0,"Control"
"165",165,2020-08-26,1,"b.Male",30,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.321208595947443,"Florida",FALSE,"It is important to teach children good habits in terms of exercise.",1331,TRUE,0.171633333333333,0,2020-09-07,363,TRUE,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,0,1,2,1,2,1,2,1,2,1,2,1,2,"c.fat","b.increase","d.noChange",4,4,6,4,4,5,4,-5,4,5,4,4,3,5,4,5,-4,-4,6,4,-5,-7,"5d9b429de7083f02d0610374",2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,10,4,14,7,10,0.675595878206034,0.0416025955652547,1.04338464323292,FALSE,0,FALSE,"c.Democrat",3.21208595947443,TRUE,12,0,"Documentary"
"166",166,2020-08-26,1,"a.Female",41,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.423480657768044,"Delaware",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1325,TRUE,0.23775,20.8148666666667,2020-09-07,584,TRUE,7,5,7,5,3.5,2,7,3.5,0,0,2,5,0,0,0,0,2,5,3.5,5,0,0,7,5,2,3.5,0,0,0,0,"a.totalCal","d.dontKnow","d.noChange",3,3,2,4,4,1,2,-6,2,3,2,7,6,5,2,1,-7,-7,1,1,-7,-7,"5d9eb6d611b7c400172aa975",10,0,0,10,17.5,0,35,7,0,0,35,35,7,24.5,0,37.5,42,79.5,16.5,101.5,-0.551594103092268,0.320899552927314,-1.10287065481974,FALSE,1,FALSE,"c.Democrat",4.23480657768044,FALSE,12,0,"Documentary"
"167",167,2020-08-26,1,"b.Male",30,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.463070963517623,"Washington",FALSE,"Most Americans get less than the recommended amount of exercise.,It is important to teach children good habits in terms of exercise.,Exercising for even 10 minutes a day can improve health.",1367,TRUE,1.51581666666667,18.6504833333333,2020-09-07,1994,TRUE,2,2,1,2,3.5,3.5,1,3.5,3.5,3.5,2,2,0,0,1,2,0,0,2,2,1,2,1,2,1,2,1,2,2,2,"c.fat","b.increase","d.noChange",4,6,5,4,3,3,3,-3,4,4,5,4,4,4,3,4,-4,-6,3,3,-6,-5,"5da5afa4f907f500123ef9ae",4,0,2,0,4,2,2,2,2,4,4,2,12.25,3.5,12.25,12,4,16,8,34,0.402886993473078,0.0416025955652547,0.360485230216162,FALSE,0,FALSE,"c.Democrat",4.63070963517623,TRUE,12,0,"Documentary"
"168",168,2020-08-26,0,"a.Female",54,"c.2yr",1,0,0,0,0,0,0,0,0,"Republican",0.508416090752463,"Washington",FALSE,"Exercising for even 10 minutes a day can improve health.",1442,TRUE,0.10055,20.6885666666667,2020-09-10,371,TRUE,2,3.5,3.5,3.5,1,3.5,1,3.5,1,3.5,1,3.5,0,0,2,3.5,0,0,2,3.5,1,2,1,3.5,0,0,1,3.5,7,5,"a.totalCal","d.dontKnow","d.noChange",3,3,3,5,3,3,6,-7,4,1,1,1,1,2,7,7,-4,-4,1,7,-1,-4,"5da883c13b410d0017c55b0f",3.5,0,7,0,7,2,3.5,0,3.5,35,7,12.25,3.5,3.5,3.5,19.5,3.5,23,7,29.75,0.402886993473078,-2.05312458465019,2.01895523325686,FALSE,1,FALSE,"a.Republican",5.08416090752463,TRUE,15,0,"Control"
"169",169,2020-08-26,0,"b.Male",36,"e.post",1,0,0,0,0,0,0,0,0,"Republican",0.258718414072316,"Florida",FALSE,"Most Americans get less than the recommended amount of exercise.,It is important to teach children good habits in terms of exercise.",1306,TRUE,14.5103833333333,6.23365,2020-09-07,392,TRUE,1,3.5,3.5,2,0,0,0,0,2,3.5,1,3.5,0,0,0,0,1,2,3.5,3.5,0,0,5.5,3.5,1,3.5,2,3.5,0,0,"a.totalCal","a.generalPatterns","d.noChange",4,3,4,4,6,6,6,-6,6,1,1,1,1,1,7,1,-1,-1,7,7,-1,-7,"5dab320180cabf00168279d7",3.5,0,0,2,12.25,0,19.25,3.5,7,0,3.5,7,0,0,7,17.75,22.75,40.5,12,17.5,1.4937225324049,-2.19277306333122,2.31162641026404,FALSE,0,FALSE,"a.Republican",2.58718414072316,TRUE,12,0,"Control"
"170",170,2020-08-26,0,"a.Female",47,"c.2yr",1,0,0,0,0,0,0,0,0,"Republican",0.303745019920319,"Georgia",FALSE,"Most Americans get less than the recommended amount of exercise.,It is important to teach children good habits in terms of exercise.,Exercising for even 10 minutes a day can improve health.",1318,TRUE,6.37263333333333,14.1455333333333,2020-09-07,465,TRUE,3.5,5,3.5,5,2,3.5,3.5,3.5,2,5,1,2,0,0,2,3.5,1,3.5,1,2,0,0,3.5,3.5,0,0,1,3.5,0,0,"g.meatAnimProd","a.generalPatterns","d.noChange",5,4,5,3,3,3,4,-6,4,5,4,6,2,5,2,1,-7,-6,2,2,-6,-6,"5daf506a5bd1b30013605e31",2,0,7,3.5,2,0,12.25,0,3.5,0,17.5,17.5,7,12.25,10,14.5,12.25,26.75,8.5,64.25,-0.00617633362635618,0.181251074246285,-0.615085359807775,FALSE,1,FALSE,"a.Republican",3.03745019920319,TRUE,12,0,"Control"
"171",171,2020-08-26,1,"b.Male",46,"c.2yr",1,1,0,0,0,0,0,0,0,"Independent",0.176070218405073,"Louisiana",FALSE,"Regularly eating seafood is good for you.,The ways we raise animals for human consumption causes the animals to suffer.",1513,TRUE,12.9153,9.00843333333333,2020-09-07,383,TRUE,2,2,3.5,3.5,2,2,5.5,3.5,2,3.5,2,5,0,0,0,0,2,5,3.5,5,3.5,5,3.5,5,0,0,3.5,3.5,3.5,5,"b.protein","a.generalPatterns","d.noChange",3,3,4,2,2,1,2,-6,2,6,5,7,5,7,2,2,-7,-7,1,7,-6,-6,"5db603b20ad96c000e3847db",10,0,0,10,17.5,17.5,17.5,0,12.25,17.5,4,12.25,4,19.25,7,55,17.5,72.5,14.5,46.5,-1.09701187255818,1.29843890369452,-0.2248571237982,FALSE,0,FALSE,"b.Neutral",1.76070218405073,TRUE,12,0,"Documentary"
"172",172,2020-08-26,0,"a.Female",54,"b.HS",1,0,0,0,0,1,0,0,0,"Other/I don't know",0.401249889919596,"Oklahoma",FALSE,"It is important to teach children good habits in terms of exercise.",1628,TRUE,20.4937833333333,0.335416666666667,2020-09-07,519,TRUE,2,3.5,5.5,3.5,0,0,3.5,2,2,5,0,0,0,0,0,0,5.5,5,3.5,5,2,5,3.5,2,2,3.5,3.5,3.5,14,5,"j.dontKnow","","d.noChange",2,3,2,6,7,4,7,-1,6,1,1,2,1,1,4,4,-4,-4,7,7,-1,-7,"5db9da2c11a2a902a7bdfe41",0,0,0,27.5,17.5,10,7,7,12.25,70,7,19.25,0,7,10,55,14,69,16.5,43.25,2.44820362897025,-2.05312458465019,1.72628405624967,FALSE,1,FALSE,"b.Neutral",4.01249889919596,FALSE,12,0,"Control"
